1STBSRS,2010-05-05,997,1098.75,995,1098.75,42600,
1STICB,2010-05-05,7700,7900,7700,7849.5,40,
1STPRIMFMF,2010-05-05,26,26.5,25.6,26,46500,
2NDICB,2010-05-05,2020,2115,2020,2089,50,
3RDICB,2010-05-05,1650,1665,1635,1640.25,55,
4THICB,2010-05-05,1800,1800,1800,1800,70,
6THICB,2010-05-05,575.25,590,573,578,1840,
7THICB,2010-05-05,890,890,872,883.5,1250,
8THICB,2010-05-05,639,653,639,643.75,2300,
ABBANK,2010-05-05,1095,1131,1085.75,1120.5,275010,
ACI,2010-05-05,439,440,430.5,431.5,92500,
ACIFORMULA,2010-05-05,161.8,161.8,158,158.6,67700,
AFTABAUTO,2010-05-05,2306,2333.75,2269,2289,55205,
AGNISYSL,2010-05-05,64.9,66,64.8,65,304000,
AL-HAJTEX,2010-05-05,82.5,83.7,82.5,83.1,19200,
AMBEEPHA,2010-05-05,260,272,260,267,7800,
AMCL(PRAN),2010-05-05,1868,1868,1830,1838.75,7350,
APEXFOOT,2010-05-05,2551,2557.25,2535.5,2537.5,6960,
APEXFOODS,2010-05-05,1143.5,1143.5,1112,1114,1790,
APEXSPINN,2010-05-05,842.75,842.75,815,821.75,660,
APEXTANRY,2010-05-05,1395,1430,1395,1418.25,12600,
ASIAPACINS,2010-05-05,736.25,749,725,744.5,47550,
ATLASBANG,2010-05-05,430.9,436,428,431.4,70600,
BANGAS,2010-05-05,1640,1640,1550,1612,2495,
BANKASIA,2010-05-05,420,420,407.5,411,62800,
BATASHOE,2010-05-05,541,554.5,541,542.3,44300,
BATBC,2010-05-05,490,499.9,488,493.2,295800,
BDCOM,2010-05-05,62.9,63,61.5,61.9,186000,
BDFINANCE,2010-05-05,738.75,740,705,714,91550,
BDLAMPS,2010-05-05,2058,2180,2040,2146.25,10150,
BEACHHATCH,2010-05-05,62.1,62.9,61.5,61.6,244500,
BERGERPBL,2010-05-05,619.8,645,613.1,622.5,55250,
BEXIMCO,2010-05-05,414,417,412.2,413.6,1747100,
BEXTEX,2010-05-05,89.1,90.1,88,88.1,2033400,
BIFC,2010-05-05,833.5,838,815,822.5,101400,
LINDEBD,2010-05-05,573.8,589.4,565,569.1,104950,
BRACBANK,2010-05-05,572,584.75,571,579.25,115900,
BXPHARMA,2010-05-05,167.3,169.7,166,166.6,1694050,
BXSYNTH,2010-05-05,372,372,363.25,365.25,27700,
CENTRALINS,2010-05-05,703,703,675,676.75,21880,
CITYBANK,2010-05-05,712,750,710,740.75,178310,
CITYGENINS,2010-05-05,491,494.75,480,484.5,34300,
CONFIDCEM,2010-05-05,1270,1327,1270,1309.25,132060,
CONTININS,2010-05-05,528,543.75,527,533.75,42300,
DAFODILCOM,2010-05-05,48,48.9,47.5,48.4,80000,
DBH,2010-05-05,2010,2024,2000,2009.25,16350,
DBH1STMF,2010-05-05,17,17.4,16.7,17.1,475000,
DELTASPINN,2010-05-05,484,508.75,480,501.5,124420,
DESCO,2010-05-05,1912,1947,1911.25,1915,122650,
DHAKABANK,2010-05-05,390,395.75,390,394.5,35550,
DUTCHBANGL,2010-05-05,1254,1289,1251.5,1278.5,15350,
EASTERNINS,2010-05-05,1074,1074,1041,1061,10440,
EASTLAND,2010-05-05,1044,1054.75,1010,1017.25,85000,
EBL,2010-05-05,550,571,545.25,566,75640,
EBL1STMF,2010-05-05,18.5,18.6,18,18.4,140000,
ECABLES,2010-05-05,638,642,635.75,637,4340,
EHL,2010-05-05,667,671.75,661.25,663.75,22340,
EXIMBANK,2010-05-05,574,579,564,574.25,595700,
FAREASTLIF,2010-05-05,3268,3398,3265,3357.25,42400,
FEDERALINS,2010-05-05,629.75,665,618,644.75,22250,
FINEFOODS,2010-05-05,59.8,59.8,57,57.5,219000,
FIRSTFIN,2010-05-05,1719,1730,1690,1704.25,90100,
FUWANGCER,2010-05-05,416.5,429,416.5,421.75,30950,
FUWANGFOOD,2010-05-05,63.1,63.1,61.4,61.5,129500,
GLAXOSMITH,2010-05-05,1000,1040,1000,1034.7,67600,
GLOBALINS,2010-05-05,555,560,544,545.5,10750,
GOLDENSON,2010-05-05,82,86,81.5,85.7,2816500,
GQBALLPEN,2010-05-05,253,269.7,253,264.9,90300,
HEIDELBCEM,2010-05-05,2497,2530,2475,2517,24615,
IBBLPBOND,2010-05-05,897,900,897,899,3570,
IBNSINA,2010-05-05,1667,1679,1650.25,1664.75,3880,
ICB,2010-05-05,3850,4147,3820,4079.5,51050,
ICB1STNRB,2010-05-05,366,380,366,371.25,8950,
ICB2NDNRB,2010-05-05,185,192.5,180.75,187,94150,
ICBAMCL1ST,2010-05-05,500.25,520,500.25,508.5,4000,
ICBAMCL2ND,2010-05-05,141.5,145.5,141.5,143.5,32950,
ICBEPMF1S1,2010-05-05,18.8,19.7,18.5,18.9,317500,
ICBISLAMIC,2010-05-05,307,317,307,312.5,2600,
IDLC,2010-05-05,2800,2897,2781.5,2813,43760,
IFIC,2010-05-05,830,830,815,827,20500,
IFIC1STMF,2010-05-05,15.9,16,15.5,15.7,1152500,
ILFSL,2010-05-05,2075,2150,2045,2142.25,57000,
INTECH,2010-05-05,40.9,40.9,40.4,40.5,124500,
IPDC,2010-05-05,549,576,540,571.75,180350,
ISLAMIBANK,2010-05-05,475.75,480,475.25,477.25,31240,
ISLAMICFIN,2010-05-05,775,780,757,760.5,155550,
JAMUNABANK,2010-05-05,402,416.5,402,411.5,79550,
