SB71,2012-06-12,71.2834,71.2834,0,70.6256,9185190,
ABBANK,2012-06-12,43.5,43.6,42.6,43.2,143250,
ACI,2012-06-12,173.5,173.5,171.6,171.9,2300,
ACIFORMULA,2012-06-12,81.1,83.7,81.1,83,23300,
ACTIVEFINE,2012-06-12,57.8,60.5,57.8,59,109000,
AFTABAUTO,2012-06-12,141,141,137.8,138.7,230700,
AGNISYSL,2012-06-12,26.5,27.1,26.5,27,57000,
AGRANINS,2012-06-12,33.3,33.7,32.8,33.2,21000,
AL-HAJTEX,2012-06-12,29.8,30.9,28.9,30.3,25800,
ALARABANK,2012-06-12,27,27.6,27,27.5,249500,
AMBEEPHA,2012-06-12,273.1,273.1,272.9,273,200,
AMCL(PRAN),2012-06-12,126,127,126,126.5,1000,
ANLIMAYARN,2012-06-12,21.5,22.3,21.3,22.1,144500,
APEXFOOT,2012-06-12,256.8,256.8,248,250.4,1600,
APEXFOODS,2012-06-12,63.5,64.8,63,63.9,1950,
APEXSPINN,2012-06-12,72.7,77.9,72.7,75.5,1000,
APEXTANRY,2012-06-12,103.2,104.7,102.4,103.8,9900,
ARAMIT,2012-06-12,250,255,250,250.6,1150,
ARAMITCEM,2012-06-12,87.8,87.8,85.2,86.3,4000,
ASIAINS,2012-06-12,39.5,40.7,39.5,40.4,47250,
ASIAPACINS,2012-06-12,33,33,32.6,32.8,26000,
ATLASBANG,2012-06-12,192.1,193.5,191,191.3,9450,
BANGAS,2012-06-12,117.5,123.3,117.5,120.8,2150,
BANKASIA,2012-06-12,24.3,25.3,24.3,24.9,42500,
BATASHOE,2012-06-12,478,485,478,483.8,600,
BATBC,2012-06-12,595,595,591,594.4,350,
BAYLEASING,2012-06-12,46.5,48,46.5,47.7,75500,
BDFINANCE,2012-06-12,42.5,45.4,42.3,44.9,76000,
BDLAMPS,2012-06-12,135.2,140.9,135.2,140,4500,
BDWELDING,2012-06-12,28,28.2,27.6,28.1,93000,
BEACHHATCH,2012-06-12,26.8,26.9,26.2,26.6,38500,
BARKAPOWER,2012-06-12,44.1,45.4,44.1,45.1,188200,
BEXIMCO,2012-06-12,89.4,90.5,89.2,89.9,308900,
BGIC,2012-06-12,32.8,33.6,32.8,33.3,57700,
BIFC,2012-06-12,38.8,42,38.7,41.7,140500,
BRACBANK,2012-06-12,32,32.2,31.9,32,213000,
BSC,2012-06-12,311,311,305.5,308.5,13675,
BSRMSTEEL,2012-06-12,84.2,85.8,84.1,85.5,76500,
BXPHARMA,2012-06-12,62,63.3,62,62.5,64050,
BXSYNTH,2012-06-12,25.9,26.4,25.7,25.9,175200,
CENTRALINS,2012-06-12,40,40.8,39.4,39.8,4400,
CITYBANK,2012-06-12,35,35.5,34.4,35,311650,
CITYGENINS,2012-06-12,29.5,29.8,29,29.5,25700,
CMCKAMAL,2012-06-12,25.2,25.5,25,25.3,372900,
CONFIDCEM,2012-06-12,116.4,118.7,116.4,118.2,61780,
CONTININS,2012-06-12,33.1,34.3,33.1,34,35000,
CVOPRL,2012-06-12,255,263,251,256.2,61800,
DACCADYE,2012-06-12,42.1,43.2,42.1,42.7,44500,
DAFODILCOM,2012-06-12,15.8,17,15.8,16.7,13500,
DBH,2012-06-12,82,84.5,82,83.5,16000,
DELTASPINN,2012-06-12,27.4,29,26.8,28.7,292800,
DESCO,2012-06-12,89,91.4,88.6,90.7,111500,
DESHBANDHU,2012-06-12,30.6,31.6,30.6,31.3,98500,
DHAKABANK,2012-06-12,30.8,30.8,29.5,29.6,148600,
DHAKAINS,2012-06-12,64.8,67.2,64.2,66.7,38500,
DUTCHBANGL,2012-06-12,120.8,123.8,119.2,120.7,18500,
EASTERNINS,2012-06-12,45.6,46.5,45.4,45.7,13800,
EASTLAND,2012-06-12,82,82,80.1,80.9,68600,
EASTRNLUB,2012-06-12,325,325,325,325,50,
EBL,2012-06-12,39.9,40.4,38.2,40.1,52200,
EHL,2012-06-12,66.7,67.3,66,66.8,121000,
EXIMBANK,2012-06-12,18.5,19.8,18.5,19.5,3354700,
FAREASTLIF,2012-06-12,187,194,187,188.1,26800,
FASFIN,2012-06-12,40.1,42.2,40.1,41.8,93000,
FEDERALINS,2012-06-12,28.4,28.6,28.3,28.4,13300,
FINEFOODS,2012-06-12,25.3,26,25,25.4,11500,
FIRSTSBANK,2012-06-12,17.7,18,17.4,17.8,320200,
FIRSTFIN,2012-06-12,53,54.7,52.9,53.7,133000,
FUWANGCER,2012-06-12,32.2,33,32.2,32.7,135500,
FUWANGFOOD,2012-06-12,34.3,35.2,34.3,34.9,132400,
GEMINISEA,2012-06-12,183,186,182,183.7,950,
GLAXOSMITH,2012-06-12,589.8,620,589.8,619.1,5000,
GLOBALINS,2012-06-12,41.5,43,41.5,42.6,34000,
GOLDENSON,2012-06-12,49,49.8,48.4,49.2,131000,
GP,2012-06-12,202.9,203.9,200.2,203,293400,
GQBALLPEN,2012-06-12,185.5,189,185,186.4,24450,
GREENDELT,2012-06-12,113.2,117,113.2,116.2,5700,
GSPFINANCE,2012-06-12,43,44.6,42.7,44.4,212500,
HEIDELBCEM,2012-06-12,235.2,241.5,234,239.3,22100,
HRTEX,2012-06-12,29,30.4,29,30,124500,
IBNSINA,2012-06-12,88.7,91.5,88.7,90.9,8600,
ICB,2012-06-12,2039,2039,1967,2021.25,3000,
IDLC,2012-06-12,116.1,119.6,115.3,119.1,28600,
IFIC,2012-06-12,45.2,46.5,45.2,46.1,49600,
INTECH,2012-06-12,20,20.4,19.9,20.2,67500,
IPDC,2012-06-12,23,23.7,23,23.4,48000,
ISLAMIBANK,2012-06-12,42.9,43.3,42.9,43.1,468500,
ISLAMICFIN,2012-06-12,36.6,37.5,36.1,37,66000,
ISLAMIINS,2012-06-12,37.8,37.8,35.6,36.5,15500,
ISNLTD,2012-06-12,22.3,23.1,22.3,22.6,5500,
JAMUNABANK,2012-06-12,21.8,22.1,21.5,22,393250,
JAMUNAOIL,2012-06-12,249.4,255.5,249.4,254.6,185600,
JUTESPINN,2012-06-12,85.3,85.3,84.2,84.4,400,
KARNAPHULI,2012-06-12,37.1,38.3,37.1,37.9,32400,
KEYACOSMET,2012-06-12,42.2,42.9,42,42.6,347000,
KPCL,2012-06-12,56,57,55.8,56.4,290100,
LANKABAFIN,2012-06-12,88,88.5,87,87.7,393500,
LEGACYFOOT,2012-06-12,25.7,25.7,25,25.2,11500,
LIBRAINFU,2012-06-12,300,300,300,300,200,
LINDEBD,2012-06-12,510.1,526,510.1,512.9,300,
MAKSONSPIN,2012-06-12,16.9,17.3,16.7,17.1,274500,
MALEKSPIN,2012-06-12,18.1,18.6,18.1,18.5,94500,
MARICO,2012-06-12,385,385,382,382.7,400,
MEGHNACEM,2012-06-12,140,142.6,139.9,141,81000,
MEGHNALIFE,2012-06-12,171.6,172.4,167,169.6,95800,
MERCANBANK,2012-06-12,20.6,21,20.5,20.9,596000,
MERCINS,2012-06-12,33,33.8,32.9,33.5,145500,
METROSPIN,2012-06-12,19.7,20.2,19.5,19.9,39000,
MICEMENT,2012-06-12,111.5,112,109.5,111.2,275600,
MIDASFIN,2012-06-12,62.6,64.2,62,63.5,43500,
MITHUNKNIT,2012-06-12,86.2,88.5,85.7,86.3,3800,
MJLBD,2012-06-12,86.5,87.6,85.8,86.7,193100,
MONNOCERA,2012-06-12,40.5,40.9,40.2,40.5,23850,
MONNOSTAF,2012-06-12,189,189,189,189,50,
MTB,2012-06-12,25.2,25.3,25.2,25.2,28000,
NATLIFEINS,2012-06-12,305.3,325,302.5,319.8,27600,
NAVANACNG,2012-06-12,95.9,97.6,93.5,96,110500,
NBL,2012-06-12,29,29.4,28.9,29,1089400,
NCCBANK,2012-06-12,20.9,21.1,20.9,21,211000,
NHFIL,2012-06-12,61,63.4,60.1,62.2,16500,
NITOLINS,2012-06-12,44.9,44.9,44.9,44.9,500,
