SB71,2012-02-27,78.3991,80.0517,0,78.4126,45171400,
ACI,2012-02-27,185,185,176,178.7,3900,
ACIFORMULA,2012-02-27,81,81.9,78.7,80.2,23200,
ACTIVEFINE,2012-02-27,58.1,58.4,55,57.4,372500,
AFTABAUTO,2012-02-27,108.4,111.6,104.7,110.1,616900,
AGNISYSL,2012-02-27,34.1,34.2,31.3,32.6,1271000,
AGRANINS,2012-02-27,39.3,39.3,36.5,37.3,82500,
AL-HAJTEX,2012-02-27,37.5,37.5,34.3,35.7,84800,
ALARABANK,2012-02-27,33.5,33.9,32.5,33.2,1077750,
AMBEEPHA,2012-02-27,323,328,311.2,318.7,7750,
AMCL(PRAN),2012-02-27,110,114,109.8,112.6,5500,
ANLIMAYARN,2012-02-27,27.3,27.6,25.1,26.1,248500,
APEXFOOT,2012-02-27,217.1,226.9,212,216.7,19800,
APEXFOODS,2012-02-27,67.7,68.1,66.3,67.5,15550,
APEXSPINN,2012-02-27,108.4,108.4,95.2,97.2,19800,
APEXTANRY,2012-02-27,98.8,99.8,92,95.2,61200,
ARAMIT,2012-02-27,232,232,214,218.6,950,
ARAMITCEM,2012-02-27,90.5,91.1,86,89.5,41500,
ASIAINS,2012-02-27,48.4,51.4,48.1,50.6,800750,
ASIAPACINS,2012-02-27,36,36.9,35.1,36.1,206500,
ATLASBANG,2012-02-27,189,189,183,184.5,8500,
BANGAS,2012-02-27,124.6,125,119,123.9,15450,
BATASHOE,2012-02-27,526.8,526.8,511.2,516.6,3900,
BATBC,2012-02-27,597,617,597,610.2,4450,
BAYLEASING,2012-02-27,53.5,55,51.1,53.7,533000,
BDFINANCE,2012-02-27,48,49.9,46.8,47.9,152900,
BDLAMPS,2012-02-27,172.2,172.5,165.3,171.1,9750,
BDTHAI,2012-02-27,53.9,54.5,50.9,52.7,907700,
BDWELDING,2012-02-27,37.2,38.5,35.1,36.8,388500,
BEACHHATCH,2012-02-27,37.8,38.4,35.4,36.3,422000,
BARKAPOWER,2012-02-27,40.5,41.2,37.9,39.8,557000,
BERGERPBL,2012-02-27,490,500,490,497.1,350,
BEXIMCO,2012-02-27,103,104.5,97.3,101.6,2791700,
BGIC,2012-02-27,45.3,45.5,42.8,44.4,385600,
BIFC,2012-02-27,39.1,39.8,38,38.6,99500,
BRACBANK,2012-02-27,40.8,41.4,40.1,41,432000,
BSC,2012-02-27,394.5,397,381,388,61395,
BSRMSTEEL,2012-02-27,109.4,109.7,103.4,106.8,349500,
BXPHARMA,2012-02-27,82.5,82.7,77.8,82.1,803850,
BXSYNTH,2012-02-27,40.3,40.4,37.3,38.5,736600,
CENTRALINS,2012-02-27,61,62,55.4,59.8,53800,
CITYBANK,2012-02-27,41,41,39.1,39.7,936450,
CITYGENINS,2012-02-27,33.3,34.9,32.5,34,364600,
CMCKAMAL,2012-02-27,34.8,34.9,32.7,33.4,1454800,
CONFIDCEM,2012-02-27,112.8,114,105,109.8,202680,
CONTININS,2012-02-27,41.2,41.5,38.4,39.3,204500,
CVOPRL,2012-02-27,288.7,288.7,274.2,279.2,38800,
DACCADYE,2012-02-27,48.6,48.7,44.6,46.8,514500,
DAFODILCOM,2012-02-27,20.9,21.1,19.1,20,244000,
DBH,2012-02-27,79.1,80,76.6,78.1,242000,
DELTASPINN,2012-02-27,31,31.3,29.1,29.8,241400,
DESCO,2012-02-27,81.5,82.4,77.5,79.5,208500,
DESHBANDHU,2012-02-27,33,33.2,30.8,32.6,860000,
DHAKAINS,2012-02-27,84.8,85.5,80.7,83.3,90000,
DUTCHBANGL,2012-02-27,104.1,104.1,100.3,102,126500,
EASTERNINS,2012-02-27,50.7,51,48.5,50.4,42800,
EASTLAND,2012-02-27,88.6,88.6,83.2,85.7,245000,
EASTRNLUB,2012-02-27,292,317.9,292,305.6,600,
ECABLES,2012-02-27,53.6,56.3,53.6,54.4,2800,
EHL,2012-02-27,55.7,55.9,52.9,54.6,513400,
EXIMBANK,2012-02-27,23,23.4,22.6,22.7,600300,
FAREASTLIF,2012-02-27,139.9,139.9,131.5,135.3,66850,
FASFIN,2012-02-27,48.5,48.5,46.2,47.4,275000,
FEDERALINS,2012-02-27,34.4,35.2,32.4,33.5,309100,
FINEFOODS,2012-02-27,34.5,35.6,32.9,34.7,159000,
FIRSTSBANK,2012-02-27,22.3,23.1,21.6,21.8,673700,
FIRSTFIN,2012-02-27,69.5,69.7,66.7,68.3,356000,
FUWANGCER,2012-02-27,37.7,37.7,35.3,36,1893500,
FUWANGFOOD,2012-02-27,39.3,39.5,37.1,38.1,1280700,
GEMINISEA,2012-02-27,227.1,235,224,230.3,2500,
GLAXOSMITH,2012-02-27,601,610,601,605.7,800,
GLOBALINS,2012-02-27,42.8,42.9,40.5,41.7,123000,
GOLDENSON,2012-02-27,57.5,57.5,53.9,55.8,778000,
GP,2012-02-27,156.4,156.9,153,154.4,856600,
GQBALLPEN,2012-02-27,163.3,163.3,154.3,157,52850,
GREENDELT,2012-02-27,140,144,140,141.7,13800,
HEIDELBCEM,2012-02-27,184.9,185.5,174.2,176.1,6200,
HRTEX,2012-02-27,35.3,36,34.4,34.9,163000,
IBNSINA,2012-02-27,134,135,122,123.9,12300,
ICB,2012-02-27,1350,1354.75,1307.25,1338.5,1800,
IDLC,2012-02-27,106.9,109,102.4,103.9,109200,
IFIC,2012-02-27,51,51.2,49.2,50,214550,
ILFSL,2012-02-27,39.8,42.4,38.4,41.6,1496500,
INTECH,2012-02-27,25.4,25.4,23.7,24.5,325000,
IPDC,2012-02-27,25.9,27,24.7,26.2,510000,
ISLAMIBANK,2012-02-27,54,54,53.1,53.3,604600,
ISLAMICFIN,2012-02-27,30.7,31,29,29.7,193500,
ISLAMIINS,2012-02-27,40,40,37.5,38,41000,
ISNLTD,2012-02-27,28,28,26,26.4,59000,
JAMUNABANK,2012-02-27,32.1,32.5,31.2,32.2,751000,
JAMUNAOIL,2012-02-27,170.1,173.8,167.4,172.2,221800,
JUTESPINN,2012-02-27,113.2,115.1,111.3,112.7,2850,
KARNAPHULI,2012-02-27,52,52.8,50,51.4,151700,
KEYACOSMET,2012-02-27,61,61,56.9,59.1,1400000,
KPCL,2012-02-27,56.2,57.4,54.1,56.5,333200,
LEGACYFOOT,2012-02-27,32.6,32.6,30.5,31.9,101000,
LINDEBD,2012-02-27,552.1,572,552.1,561.1,900,
MAKSONSPIN,2012-02-27,23.3,23.3,22,22.6,1233500,
MALEKSPIN,2012-02-27,24.5,25.3,23.1,24.7,1590500,
MARICO,2012-02-27,349,361,349,354.3,2950,
MEGHNACEM,2012-02-27,125,127,118,122.7,93400,
MEGHNALIFE,2012-02-27,148,151,143.5,150,212200,
MERCANBANK,2012-02-27,29,29.2,27.6,28,1599500,
MERCINS,2012-02-27,40,40,37.4,38.4,365500,
METROSPIN,2012-02-27,24,24,22.6,23.3,749000,
MICEMENT,2012-02-27,81.5,88.6,81.1,88.3,1296300,
MIDASFIN,2012-02-27,49,49.2,46.2,47.6,64000,
MITHUNKNIT,2012-02-27,101,101,94.3,96.9,96600,
MJLBD,2012-02-27,82.5,86.9,79.3,86.3,786000,
MONNOCERA,2012-02-27,49.7,49.7,46.5,47.3,108950,
MONNOSTAF,2012-02-27,208.4,211,208.3,209.4,200,
MPETROLEUM,2012-02-27,126.5,129.3,126,127.6,118700,
MTB,2012-02-27,28.6,28.6,27.5,27.9,411000,
NATLIFEINS,2012-02-27,348,354,337.5,350.4,18600,
NAVANACNG,2012-02-27,68.6,68.6,62.6,66.4,124900,
NBL,2012-02-27,40.9,40.9,38.8,39,2132900,
NCCBANK,2012-02-27,27,28.1,27,27.6,2839750,
NHFIL,2012-02-27,91.8,91.8,85.8,89.3,30000,
NITOLINS,2012-02-27,48.2,49,47.3,48.3,61000,
NORTHRNINS,2012-02-27,46.9,46.9,44.3,45.1,142000,
NPOLYMAR,2012-02-27,44.5,45.3,44,45.1,50200,
NTC,2012-02-27,600,600,560,565.1,5550,
NTLTUBES,2012-02-27,46.5,46.6,43.6,44,15600,
OCL,2012-02-27,59.9,59.9,56.2,58.5,41800,
OLYMPIC,2012-02-27,109.4,109.4,101.9,105.7,358500,
ONEBANKLTD,2012-02-27,42.8,43,41.3,42,1462500,
ORIONINFU,2012-02-27,46.2,46.3,43.1,44.1,319800,
PARAMOUNT,2012-02-27,36.2,36.3,34.1,35,131000,
PEOPLESINS,2012-02-27,36.8,36.8,33.8,35.1,200500,
PHARMAID,2012-02-27,205,205,192.3,197.7,55150,
PHENIXINS,2012-02-27,74.1,74.1,70.8,72.7,86600,
PHOENIXFIN,2012-02-27,71,72.9,67.4,69.9,373000,
PIONEERINS,2012-02-27,81,81.8,78,81,7000,
PLFSL,2012-02-27,52,55.8,50.5,54,1759500,
POPULARLIF,2012-02-27,230,232,223.7,228.7,4500,
POWERGRID,2012-02-27,51.8,52,49,51,465500,
PRAGATIINS,2012-02-27,64.5,70,64.5,69.2,12100,
PRAGATILIF,2012-02-27,190.6,190.6,183.5,187.5,5000,
PREMIERBAN,2012-02-27,25.2,25.5,24.2,24.9,598000,
PREMIERLEA,2012-02-27,27.3,27.9,25.8,27.1,1066000,
PRIMEBANK,2012-02-27,42.4,42.8,41.8,42.1,446000,
PRIMEFIN,2012-02-27,85.9,94,85.9,93.5,516750,
PRIMELIFE,2012-02-27,182.5,182.5,172.7,177.5,17200,
PRIMETEX,2012-02-27,28,28.4,26.7,27.5,235000,
PROGRESLIF,2012-02-27,149,152.8,144.9,151,11500,
PROVATIINS,2012-02-27,41,41.2,38.4,40.1,87500,
PUBALIBANK,2012-02-27,45.8,46,43.4,44.1,624250,
PURABIGEN,2012-02-27,94.5,94.5,88.1,89.5,31000,
QSMDRYCELL,2012-02-27,49.8,49.9,46.2,47.6,258000,
RAHIMAFOOD,2012-02-27,28,28.3,27.1,27.8,149500,
RAHIMTEXT,2012-02-27,168,170,161,164.6,2000,
RAKCERAMIC,2012-02-27,62.9,62.9,59.1,62.4,326400,
RANFOUNDRY,2012-02-27,62,62,60,61,24000,
RECKITTBEN,2012-02-27,650,650,650,650,100,
RELIANCINS,2012-02-27,98.3,102.9,97,98.7,33500,
RENATA,2012-02-27,983.1,990,983.1,986,250,
RENWICKJA,2012-02-27,84,84,80.2,81.8,12650,
REPUBLIC,2012-02-27,47.5,47.5,46.1,46.8,31000,
RNSPIN,2012-02-27,43.9,46.8,41.4,44.6,2745000,
RUPALIBANK,2012-02-27,108.8,108.8,103,104.4,31700,
RUPALIINS,2012-02-27,51,51,47.5,48.4,142600,
RUPALILIFE,2012-02-27,182,195,180,180.5,55500,
SAFKOSPINN,2012-02-27,33.2,33.2,30.7,32,305500,
SAIHAMTEX,2012-02-27,34,34,31.4,32.2,777500,
SANDHANINS,2012-02-27,148,148,137.5,143.6,62000,
SAPORTL,2012-02-27,52,52,48.3,50,227900,
SHAHJABANK,2012-02-27,31,31.1,30,30.3,545200,
SIBL,2012-02-27,22.9,22.9,22.2,22.4,2872500,
SINGERBD,2012-02-27,232,234,216,226,76550,
SINOBANGLA,2012-02-27,38.3,38.9,37,38.6,260000,
SONALIANSH,2012-02-27,136,136,126.6,129.4,17800,
SONARBAINS,2012-02-27,39.7,39.7,37.2,37.9,133000,
SONARGAON,2012-02-27,31.8,32,28.1,30.2,218500,
SPCERAMICS,2012-02-27,40.8,40.8,38,39.9,991300,
SQUARETEXT,2012-02-27,111,112,108,110.2,66850,
SQURPHARMA,2012-02-27,210,213,207,209.5,243310,
STANDARINS,2012-02-27,44,44,42.2,43.1,14500,
STANDBANKL,2012-02-27,25.7,26,24.6,25.1,813000,
STYLECRAFT,2012-02-27,624,624,624,624,100,
SUMITPOWER,2012-02-27,68.9,71.7,67,70.1,942000,
TAKAFULINS,2012-02-27,59.5,60.7,57.1,58.3,61000,
TALLUSPIN,2012-02-27,64.9,64.9,60,61.9,212500,
TITASGAS,2012-02-27,62,64.4,60,62.8,1265500,
TRUSTBANK,2012-02-27,34.8,35,33.8,34.1,220000,
UCB,2012-02-27,36.4,36.6,35.1,35.3,1754400,
UNITEDFIN,2012-02-27,47.3,47.3,44.9,46.5,153600,
UNIONCAP,2012-02-27,46.8,46.8,44,45.3,182000,
UNITEDAIR,2012-02-27,20.6,20.8,19.7,20.4,8570900,
UNITEDINS,2012-02-27,57.2,58.2,55.6,57.3,6100,
USMANIAGL,2012-02-27,106,106,103.2,103.9,1800,
UTTARABANK,2012-02-27,60,60,57.7,58.2,429225,
UTTARAFIN,2012-02-27,104.5,107.9,99.9,105.4,176600,
BDAUTOCA,2012-02-27,51,51.5,47.3,48.1,86650,
BDCOM,2012-02-27,23.7,23.7,22.6,23.3,276500,
BEACONPHAR,2012-02-27,25.1,26,24.5,25.5,2068500,
DSHGARME,2012-02-27,53,53.2,50.4,52,10600,
HAKKANIPUL,2012-02-27,33.6,33.7,32.2,32.7,16000,
KAY&QUE,2012-02-27,62.4,62.4,59.5,60.6,161000,
MIRACLEIND,2012-02-27,19.6,19.6,18.3,18.9,113500,
SAVAREFR,2012-02-27,79.5,79.9,72.5,76.7,4500,
STANCERAM,2012-02-27,38.6,38.6,36.4,36.6,18000,
RDFOOD,2012-02-27,38.4,38.4,35.8,36.6,678400,
ZAHINTEX,2012-02-27,43.3,43.3,40.6,41.8,1128500,
ALLTEX,2012-02-27,11.9,11.9,11.3,11.5,132500,
AZIZPIPES,2012-02-27,25,25.9,25,25.6,4400,
DELTALIFE,2012-02-27,2600,2601,2600,2600.2,450,
DULAMIACOT,2012-02-27,13.6,14,13.1,13.6,23000,
ICBIBANK,2012-02-27,8,8,7.8,7.8,170500,
IMAMBUTTON,2012-02-27,16.9,16.9,15.6,15.9,18500,
JANATAINS,2012-02-27,253,262,250,254.75,2880,
LAFSURCEML,2012-02-27,28.9,28.9,26.8,27.5,1063500,
MEGCONMILK,2012-02-27,19.3,19.3,18,18.9,64000,
MEGHNAPET,2012-02-27,11.4,11.4,11.1,11.2,5000,
NORTHERN,2012-02-27,28.5,28.5,27.5,28.1,1000,
SALVOCHEM,2012-02-27,28.5,28.5,26,27,163500,
SAMATALETH,2012-02-27,14,14,14,14,4000,
ZEALBANGLA,2012-02-27,11,11.5,11,11,3100,
1JANATAMF,2012-02-27,7.5,7.5,7.3,7.3,95000,
1STBSRS,2012-02-27,82.1,82.7,80,81,39500,
1STPRIMFMF,2012-02-27,14,14,13.2,13.3,405500,
2NDICB,2012-02-27,287,287,287,287,50,
6THICB,2012-02-27,44.4,44.4,40.8,41.2,5700,
8THICB,2012-02-27,50.2,50.2,50,50,3500,
ABB1STMF,2012-02-27,9.3,9.9,9.3,9.6,1000,
AIBL1STIMF,2012-02-27,7.5,7.5,6.9,6.9,92500,
AIMS1STMF,2012-02-27,33.9,34.2,31.6,32.7,550250,
DBH1STMF,2012-02-27,7.2,7.2,6.7,6.8,326500,
