SB71,2012-12-04,56.1379,58.9293,0,56.0626,16426400,
ABBANK,2012-12-04,31.5,31.8,30.9,31.6,121050,
ACI,2012-12-04,139.3,139.3,136,138.1,1500,
ACIFORMULA,2012-12-04,72,72,69.1,70.2,32200,
ACTIVEFINE,2012-12-04,65,67,65,66.5,77000,
AGNISYSL,2012-12-04,24,24.8,23.7,24.5,270000,
AGRANINS,2012-12-04,30.7,30.8,30,30.3,39000,
AL-HAJTEX,2012-12-04,31.9,35,31.9,34.5,25400,
ALARABANK,2012-12-04,22.9,23.3,22.5,22.9,653000,
AMBEEPHA,2012-12-04,236.9,236.9,225.9,227.2,1350,
AMCL(PRAN),2012-12-04,123.5,123.5,120,120.1,2000,
ANLIMAYARN,2012-12-04,22.4,23,21.7,22.7,49500,
APEXADELFT,2012-12-04,231,235,230,232,4600,
APEXFOODS,2012-12-04,78.2,84,76.1,83.1,37800,
APEXSPINN,2012-12-04,73,73.2,70,72.3,800,
APEXTANRY,2012-12-04,76,77.5,75.4,76.2,4300,
ARAMIT,2012-12-04,227,232,222,224.4,3650,
ARAMITCEM,2012-12-04,64.5,68.4,64.5,66.5,17500,
ASIAINS,2012-12-04,34.4,35.5,34.4,34.7,7000,
ASIAPACINS,2012-12-04,36,36,35,35.3,6500,
ATLASBANG,2012-12-04,171,171,167.7,169,1850,
BANGAS,2012-12-04,209.1,228,209.1,225.5,78750,
BANKASIA,2012-12-04,20.3,21,20.1,20.8,93000,
BATASHOE,2012-12-04,602,602,591.5,598,4500,
BATBC,2012-12-04,888,888.5,881.1,881.8,11150,
BAYLEASING,2012-12-04,34.7,34.8,34.3,34.6,103000,
BDFINANCE,2012-12-04,27.7,28.5,27.1,27.9,56800,
BDLAMPS,2012-12-04,115,115.3,114,115,1600,
BEACHHATCH,2012-12-04,24.8,25.2,24.6,25,113500,
BEDL,2012-12-04,32,33,31.8,32.7,357800,
BERGERPBL,2012-12-04,535.1,554.8,535.1,543.8,600,
BEXIMCO,2012-12-04,54,55.9,53.5,54.9,765900,
BGIC,2012-12-04,31.4,31.8,31,31.4,13700,
BIFC,2012-12-04,23,23.2,22.9,23,19000,
BRACBANK,2012-12-04,33.5,33.7,33.2,33.3,67500,
BSRMSTEEL,2012-12-04,65.3,66.9,64.8,65.9,157500,
BXPHARMA,2012-12-04,50.5,51.2,49.6,50.3,259000,
BXSYNTH,2012-12-04,22.4,22.9,22.3,22.6,236200,
CENTRALINS,2012-12-04,33.6,35,33.6,34.2,5400,
CITYBANK,2012-12-04,24,24.5,23.9,24.3,348200,
CITYGENINS,2012-12-04,34.6,36,34.6,35.7,21100,
CMCKAMAL,2012-12-04,36,36.5,35,35.8,450600,
CONFIDCEM,2012-12-04,105,109,103,108,68500,
CONTININS,2012-12-04,31,31.6,30.6,31.3,33000,
CVOPRL,2012-12-04,170,173,168.7,170.5,4700,
DACCADYE,2012-12-04,29,29.4,28.4,28.7,258500,
DAFODILCOM,2012-12-04,16.9,17.2,16.5,16.8,118000,
DBH,2012-12-04,54,57.3,53.7,55.2,37000,
DELTASPINN,2012-12-04,38,38.5,37.6,38,320600,
DESCO,2012-12-04,68,71.6,68,69.1,96500,
DESHBANDHU,2012-12-04,26,26.3,25.3,26,121500,
DHAKABANK,2012-12-04,20.7,22.7,20.7,22.5,63700,
DHAKAINS,2012-12-04,51,52,51,51.5,13000,
DUTCHBANGL,2012-12-04,102,105.6,102,105,11500,
EASTERNINS,2012-12-04,36.9,37,35.8,36.1,4800,
EASTLAND,2012-12-04,55.2,55.8,54.4,55.5,18000,
EBL,2012-12-04,31,31,30.5,30.7,23600,
ECABLES,2012-12-04,52.1,53.9,52,52.4,1100,
EHL,2012-12-04,45.1,45.8,44.2,45.1,85400,
EXIMBANK,2012-12-04,19.1,19.4,18.9,19.2,721200,
FAREASTLIF,2012-12-04,102.6,104,102,103.6,18350,
FEDERALINS,2012-12-04,27.7,28,27.5,27.5,48800,
FINEFOODS,2012-12-04,18,18.6,17.8,18.2,11000,
FIRSTSBANK,2012-12-04,17.5,17.6,17.3,17.5,338700,
FLEASEINT,2012-12-04,36.2,36.4,35.6,36.1,89500,
FUWANGCER,2012-12-04,22.8,23,22.2,22.9,181500,
FUWANGFOOD,2012-12-04,27,27.1,26.5,26.9,113600,
GBBPOWER,2012-12-04,31.2,32.1,31.1,31.8,142400,
GEMINISEA,2012-12-04,188.9,199,182,198.8,4900,
GLOBALINS,2012-12-04,35,35,34.5,34.8,12000,
GOLDENSON,2012-12-04,50.3,50.3,49.3,49.7,131500,
GP,2012-12-04,168,168.4,166.6,167,170000,
GQBALLPEN,2012-12-04,152.6,153.7,150.4,152.7,26700,
GREENDELT,2012-12-04,71.9,72.2,71,71.6,4000,
GSPFINANCE,2012-12-04,29.1,30,29.1,29.7,30000,
HEIDELBCEM,2012-12-04,260.3,267,260.3,265.2,7250,
HRTEX,2012-12-04,32,33.3,32,32.3,111000,
IBNSINA,2012-12-04,81.9,82,81.1,81.9,2300,
ICB,2012-12-04,1525,1540,1475,1492.25,2300,
IDLC,2012-12-04,91.5,92.9,90,92.4,33800,
IFIC,2012-12-04,34.3,35.1,34.2,34.5,57200,
INTECH,2012-12-04,18.6,18.9,18.5,18.7,40500,
IPDC,2012-12-04,18.2,18.6,18,18.3,42000,
ISLAMIBANK,2012-12-04,40.9,41.1,40.8,40.9,206000,
ISLAMICFIN,2012-12-04,21.9,22.6,21.8,22.5,53500,
ISLAMIINS,2012-12-04,30.9,31.7,30.9,31.3,1000,
ISNLTD,2012-12-04,16.3,16.6,16.3,16.4,3500,
JAMUNABANK,2012-12-04,19.8,20,19.4,19.8,69500,
JANATAINS,2012-12-04,295,296.5,290,291.5,1120,
JUTESPINN,2012-12-04,74.2,79.9,74,75.6,750,
KARNAPHULI,2012-12-04,30.1,30.8,29.8,29.9,12900,
KEYACOSMET,2012-12-04,29.8,30.3,29.3,29.8,444000,
KOHINOOR,2012-12-04,197,197,197,197,500,
KPCL,2012-12-04,47.1,47.6,46.7,47.2,91000,
LANKABAFIN,2012-12-04,56.9,57.3,55.7,56.7,122500,
LEGACYFOOT,2012-12-04,21.9,22.5,21.6,22.1,14000,
LIBRAINFU,2012-12-04,214,214,214,214,200,
MAKSONSPIN,2012-12-04,18.9,19.4,18.8,19.2,276500,
MALEKSPIN,2012-12-04,28.5,29,27.8,28.6,631500,
MARICO,2012-12-04,380,381,380,380.4,1100,
MEGHNACEM,2012-12-04,107.2,111.7,107,109.6,9500,
MEGHNALIFE,2012-12-04,108.1,109.2,107.2,108.4,29700,
MERCANBANK,2012-12-04,18.1,18.5,18,18.3,260500,
MERCINS,2012-12-04,30.9,31.5,30.7,31,39000,
METROSPIN,2012-12-04,18.6,18.8,18,18.3,77000,
MICEMENT,2012-12-04,84.1,86,84,85.3,141400,
MITHUNKNIT,2012-12-04,91.8,92.1,89.6,90.6,97000,
MJLBD,2012-12-04,74.1,75,74.1,74.6,54600,
MONNOCERA,2012-12-04,28.3,28.3,27.2,27.3,12100,
MPETROLEUM,2012-12-04,223.5,225.7,220.4,224.5,53300,
MTBL,2012-12-04,20.8,20.9,20.6,20.7,92500,
NATLIFEINS,2012-12-04,286,287.5,286,287,800,
NAVANACNG,2012-12-04,80.1,83.3,80.1,82.7,38600,
NBL,2012-12-04,20.5,20.7,20,20.4,3556000,
NCCBANK,2012-12-04,17.8,18.2,17.7,17.9,234500,
NHFIL,2012-12-04,36.1,36.1,36.1,36.1,1500,
NITOLINS,2012-12-04,38.9,39,38.9,38.9,4000,
NORTHRNINS,2012-12-04,43.2,47,43.1,45.2,15000,
