SB71,2015-06-18,50.7605,51.1573,0,50.7884,41509800,
AAMRATECH,2015-06-18,34.2,34.5,33.4,33.6,632986,
ABBANK,2015-06-18,22.9,23.2,22.6,23,674129,
ACI,2015-06-18,504,505.5,495.3,497.2,79220,
ACIFORMULA,2015-06-18,228.4,228.5,220.5,225.5,249521,
ACTIVEFINE,2015-06-18,56.4,56.7,54.8,55.5,659731,
AFCAGRO,2015-06-18,56.4,56.8,54,54.8,970979,
AFTABAUTO,2015-06-18,58.4,58.4,57.1,58,311515,
AGNISYSL,2015-06-18,29.2,29.3,28.3,28.5,524727,
AGRANINS,2015-06-18,14.8,14.9,14.8,14.9,2393,
AL-HAJTEX,2015-06-18,104,109,101,106.7,595099,
ALARABANK,2015-06-18,12.4,12.7,12.4,12.6,360528,
ALLTEX,2015-06-18,27.9,28.5,27.6,27.8,1345630,
AMBEEPHA,2015-06-18,254.7,259,252,255.4,7826,
AMCL(PRAN),2015-06-18,189.8,190,187.2,187.6,3617,
ANLIMAYARN,2015-06-18,18.5,19.8,18.2,19.3,264216,
APEXFOODS,2015-06-18,101.4,104.8,101.4,103,20495,
APEXFOOT,2015-06-18,329,332,329,329.8,5300,
APEXSPINN,2015-06-18,72.8,74.7,71,73.2,115785,
APEXTANRY,2015-06-18,104.8,109.9,104.8,108.3,65276,
APOLOISPAT,2015-06-18,19.5,19.6,18.7,19.1,2880230,
ARAMIT,2015-06-18,226,231,226,229.9,9309,
ARAMITCEM,2015-06-18,26.9,26.9,25.5,25.7,16076,
ARGONDENIM,2015-06-18,25,25.3,24.4,24.7,255138,
ASIAINS,2015-06-18,16,17.8,16,17.5,344632,
ASIAPACINS,2015-06-18,16,16.2,15.7,15.9,8280,
ATLASBANG,2015-06-18,115.6,124.7,115.6,122.8,52923,
BANGAS,2015-06-18,316.6,316.6,312.8,313.5,21268,
BANKASIA,2015-06-18,14.5,14.8,14.4,14.8,162975,
BARKAPOWER,2015-06-18,32.9,32.9,32.4,32.5,1031420,
BATASHOE,2015-06-18,1225,1230,1225,1225.7,2459,
BATBC,2015-06-18,2920,2930,2907.4,2920,567,
BAYLEASING,2015-06-18,20.3,20.3,20,20.2,139654,
BBS,2015-06-18,46,46.6,44.9,45.3,543914,
BDCOM,2015-06-18,26.7,27.1,26.3,26.5,414558,
BDFINANCE,2015-06-18,10.1,10.2,9.9,10,127777,
BDLAMPS,2015-06-18,111,114.8,110,111.9,69437,
BEACHHATCH,2015-06-18,18.2,19.3,17.6,19.1,1190290,
BENGALWTL,2015-06-18,63.9,63.9,62.5,63,26258,
BERGERPBL,2015-06-18,1598,1598,1565,1568.9,121,
BEXIMCO,2015-06-18,33.3,33.4,32.4,32.8,3441070,
BGIC,2015-06-18,15.3,15.8,15.2,15.6,12493,
BRACBANK,2015-06-18,37.2,37.6,37.2,37.4,167971,
BSC,2015-06-18,375,377,368.2,369.9,7717,
BSCCL,2015-06-18,139.6,140.6,135,136.4,396671,
BSRMSTEEL,2015-06-18,72.9,75.9,72.9,74.3,420298,
BXPHARMA,2015-06-18,56.2,58.2,55.8,57.6,1317280,
CENTRALINS,2015-06-18,18.5,18.5,18,18.1,1241,
CENTRALPHL,2015-06-18,27.5,27.5,26.6,26.9,475710,
CITYBANK,2015-06-18,16.8,17.1,16.7,16.8,601682,
CITYGENINS,2015-06-18,12.7,13,12.7,13,37255,
CMCKAMAL,2015-06-18,14.1,14.3,14,14.2,151337,
CNATEX,2015-06-18,17.2,17.7,17.2,17.4,732431,
CONFIDCEM,2015-06-18,86.5,86.5,84.5,84.8,102397,
CONTININS,2015-06-18,14.1,14.3,14.1,14.2,11420,
DACCADYE,2015-06-18,14.8,15.3,14.5,15.2,1906320,
DBH,2015-06-18,80.7,82.3,80.7,80.9,6870,
DELTALIFE,2015-06-18,109,112.9,108.9,110.3,305451,
DELTASPINN,2015-06-18,11.2,11.4,11,11.3,1404240,
DESCO,2015-06-18,67.4,67.7,66.8,67,322773,
DESHBANDHU,2015-06-18,13.9,14,13.3,13.4,359192,
DHAKABANK,2015-06-18,18.2,18.7,18.2,18.7,295004,
DHAKAINS,2015-06-18,17.5,18.4,17.5,18.3,20425,
DSHGARME,2015-06-18,77.2,82.6,77.2,80.1,48332,
DUTCHBANGL,2015-06-18,81.2,81.6,78.4,80.4,12102,
EASTERNINS,2015-06-18,23.4,23.5,23.3,23.3,10544,
EASTLAND,2015-06-18,23.5,23.5,23,23.3,25081,
EASTRNLUB,2015-06-18,339.1,339.1,339.1,339.1,10,
EBL,2015-06-18,26,26.1,25.6,25.7,143788,
ECABLES,2015-06-18,119,123,116,121.8,9507,
EHL,2015-06-18,41.4,41.6,40.9,41.2,230794,
EMERALDOIL,2015-06-18,36.1,36.9,35.8,36,129100,
ENVOYTEX,2015-06-18,46.3,47.4,46.3,46.7,52017,
EXIMBANK,2015-06-18,9.1,9.1,8.9,9,1181600,
FAMILYTEX,2015-06-18,15.7,15.9,15.3,15.5,6472300,
FARCHEM,2015-06-18,44,44.8,43.5,44.5,1942580,
FAREASTFIN,2015-06-18,9.9,10.1,9.9,10,276438,
