SB71,2015-05-11,48.1459,50.1238,0,49.0261,47146600,
AAMRATECH,2015-05-11,32.7,35.2,32.2,32.7,1019540,
ABBANK,2015-05-11,21.1,22.8,20.6,22.4,2402890,
AFTABAUTO,2015-05-11,50.5,51.3,49.1,50,216156,
AGNISYSL,2015-05-11,29.7,30.9,29.1,29.2,3992790,
AGRANINS,2015-05-11,14.8,14.9,14.8,14.9,30727,
AL-HAJTEX,2015-05-11,77.4,79,75.5,77,161735,
ALARABANK,2015-05-11,11.5,12.4,11.5,12.4,1369090,
ALLTEX,2015-05-11,25.5,25.8,24.1,24.9,1936830,
AMBEEPHA,2015-05-11,297,297,269.9,278.1,43157,
AMCL(PRAN),2015-05-11,190.1,194,189,192,11515,
ANLIMAYARN,2015-05-11,17.1,18.1,17,17.7,108453,
APEXFOODS,2015-05-11,92,92,90.2,91,3365,
APEXFOOT,2015-05-11,369,369,335,335.2,42346,
APEXSPINN,2015-05-11,67.6,71,67.6,68.7,42388,
APEXTANRY,2015-05-11,98.9,102.6,96,101.5,58493,
APOLOISPAT,2015-05-11,14,14.4,13.9,14,1491490,
ARGONDENIM,2015-05-11,25.4,25.5,24.7,24.9,344821,
ASIAINS,2015-05-11,16.9,17.3,16.9,17.3,62446,
ASIAPACINS,2015-05-11,15.6,15.8,15,15.6,64777,
ATLASBANG,2015-05-11,97.5,97.5,93,93.5,21068,
BANGAS,2015-05-11,320,320,313.4,313.8,39338,
BANKASIA,2015-05-11,14.2,15.2,14.2,14.9,132093,
BARKAPOWER,2015-05-11,32.8,33,31.9,32,2318280,
BATASHOE,2015-05-11,1136.2,1168,1136.2,1165,2609,
BATBC,2015-05-11,2965,2965,2932,2937.1,4713,
BBS,2015-05-11,42,42.2,40.9,41,700365,
BDCOM,2015-05-11,28.9,29,25.6,26,384521,
BDLAMPS,2015-05-11,107.2,107.2,103.3,104.5,38213,
BEACHHATCH,2015-05-11,17.5,17.8,16.8,17,542112,
