SB71,2013-06-11,55.0603,59.6661,0,55.7076,55865400,
AAMRATECH,2013-06-11,41.4,43,41.2,42.3,2912250,
ABBANK,2013-06-11,28.8,29.6,28.8,29.3,272900,
ACI,2013-06-11,135,137.9,135,136.2,29850,
ACIFORMULA,2013-06-11,73.4,77.5,73.4,74.8,216000,
ACTIVEFINE,2013-06-11,67.9,70.9,67.7,70.7,3053500,
AFTABAUTO,2013-06-11,93,97.5,92.6,97,1184400,
AGNISYSL,2013-06-11,24.7,24.8,24,24.1,453500,
AGRANINS,2013-06-11,27.5,28.4,26.9,27.3,43500,
AL-HAJTEX,2013-06-11,69.5,69.5,67,67.3,76050,
ALARABANK,2013-06-11,17.4,17.4,16.9,17.1,335250,
AMBEEPHA,2013-06-11,281.9,284.8,272.2,274,7050,
AMCL(PRAN),2013-06-11,130,131,126.3,127.4,7700,
ANLIMAYARN,2013-06-11,23.2,23.5,22.4,22.9,81000,
APEXFOOT,2013-06-11,240,258.7,240,258.7,69600,
APEXFOODS,2013-06-11,92.7,94.5,90,91,50950,
APEXSPINN,2013-06-11,68.2,69.5,67.5,68.3,3800,
APEXTANRY,2013-06-11,85.2,87,85,85.5,79600,
ARAMIT,2013-06-11,233.5,235,230.1,230.1,8300,
ARAMITCEM,2013-06-11,82.4,82.4,78.5,80.5,234000,
ARGONDENIM,2013-06-11,33.8,34.8,33.7,34.2,1001800,
ASIAINS,2013-06-11,31.2,32,31.2,31.6,92000,
ASIAPACINS,2013-06-11,32.3,32.9,32.2,32.7,44500,
ATLASBANG,2013-06-11,158.9,163,158.8,161.2,27150,
BANGAS,2013-06-11,430.1,458.4,429.5,458.4,54250,
BANKASIA,2013-06-11,16.8,19,16.8,18.1,185000,
BATASHOE,2013-06-11,575.2,581.7,573,578.5,3200,
BATBC,2013-06-11,1083,1084,1070,1075.7,12350,
BAYLEASING,2013-06-11,32.3,34,32,33.4,370500,
BDCOM,2013-06-11,22.5,22.8,21.6,21.7,234000,
BDFINANCE,2013-06-11,25,26.5,24.8,25.5,311700,
BDLAMPS,2013-06-11,120,125,118.1,119.7,39650,
BEACHHATCH,2013-06-11,21.9,22,21.2,21.9,1158500,
BARKAPOWER,2013-06-11,35.4,35.6,34.4,34.5,1444000,
BERGERPBL,2013-06-11,694,722,693.2,716.4,5050,
BEXIMCO,2013-06-11,46,46.5,44.6,44.8,1907500,
BGIC,2013-06-11,30.5,30.6,29.9,30.2,150400,
BIFC,2013-06-11,19.5,20.2,19,19.6,182500,
BRACBANK,2013-06-11,30.1,30.7,29.5,30.4,478000,
BSCCL,2013-06-11,188,199.9,186.3,196.9,1623200,
BSRMSTEEL,2013-06-11,72.9,73.9,70.1,73.2,1087500,
BXPHARMA,2013-06-11,54,54,52.6,52.7,344800,
BXSYNTH,2013-06-11,20.6,21,20.1,20.1,529800,
CENTRALINS,2013-06-11,31,31,29.7,29.8,41200,
CITYBANK,2013-06-11,21,21,20.4,20.9,553400,
CITYGENINS,2013-06-11,30.8,30.9,29.6,29.8,118900,
CMCKAMAL,2013-06-11,28.8,29.9,28.7,28.9,837300,
CONFIDCEM,2013-06-11,110,112,108,109.2,313520,
CONTININS,2013-06-11,30,30,29.1,29.1,108500,
CVOPRL,2013-06-11,347.9,356.8,340,348.9,118300,
DACCADYE,2013-06-11,25.8,26.9,25.8,26.6,1176000,
DAFODILCOM,2013-06-11,19.7,20.1,19.2,19.2,511000,
DBH,2013-06-11,70.5,70.5,67,68.5,107000,
DELTASPINN,2013-06-11,39,40,38,38.4,908200,
DESCO,2013-06-11,78.4,79.8,77,77.7,492500,
DESHBANDHU,2013-06-11,21.8,22.2,21.1,21.3,364000,
DHAKABANK,2013-06-11,22.5,23,22,22.7,283800,
DHAKAINS,2013-06-11,44.2,46.4,44.2,45.8,149500,
DUTCHBANGL,2013-06-11,99.9,99.9,97.6,98.1,45000,
EASTERNINS,2013-06-11,37.4,37.4,36.5,36.9,37200,
EASTLAND,2013-06-11,47.6,47.6,45.1,45.7,64000,
EASTRNLUB,2013-06-11,281,281.2,281,281.1,250,
EBL,2013-06-11,26.9,27.8,26.5,27.5,296800,
ECABLES,2013-06-11,60.8,60.8,57.2,58.3,11000,
EHL,2013-06-11,59.3,59.6,56.5,56.9,759000,
ENVOYTEX,2013-06-11,43.7,47,43,46.9,2655000,
EXIMBANK,2013-06-11,14.6,14.9,14.5,14.5,1105900,
FAREASTLIF,2013-06-11,112.5,113.5,109.6,110.9,111400,
FEDERALINS,2013-06-11,24.9,25.4,24.4,24.7,169300,
FINEFOODS,2013-06-11,18.4,18.7,18,18.1,148000,
FIRSTSBANK,2013-06-11,14.4,14.5,13.7,13.8,495500,
FIRSTFIN,2013-06-11,42.2,43.9,40,42.1,996000,
FUWANGCER,2013-06-11,22.3,22.9,21.5,21.7,1461500,
FUWANGFOOD,2013-06-11,28.7,29.3,27.6,28.2,936300,
GBBPOWER,2013-06-11,29.5,31,29.5,30,973800,
GEMINISEA,2013-06-11,183.8,183.9,178.2,180.6,3700,
GENNEXT,2013-06-11,23.3,23.7,23.1,23.2,1949500,
GHAIL,2013-06-11,38.7,39.7,38,38.2,1520400,
GLAXOSMITH,2013-06-11,660.1,660.5,638,640,6600,
GLOBALINS,2013-06-11,34.2,35.3,34,34.7,53000,
GOLDENSON,2013-06-11,43.3,44,42.8,42.9,607500,
GP,2013-06-11,185,187.8,180,182.5,564400,
